canonical_url,id,headquarters_country_restored,name,cleaned_url,part_url
https://in.linkedin.com/company/andhra-paper,8863195,,Andhra Paper,https://in.linkedin.com/company/andhra-paper,andhra-paper
https://www.linkedin.com/company/engineered-polymer-solutions,6161943,United States,Engineered Polymer Solutions,https://www.linkedin.com/company/engineered-polymer-solutions,engineered-polymer-solutions
https://www.linkedin.com/company/protrackerplus,12895890,,Prosperity Marketing System,https://www.linkedin.com/company/protrackerplus,protrackerplus
https://www.linkedin.com/company/rodeo-fx,7288725,Canada,Rodeo FX,https://www.linkedin.com/company/rodeo-fx,rodeo-fx
https://in.linkedin.com/company/bestatlowest,119314,India,AskMe Grocery,https://in.linkedin.com/company/bestatlowest,bestatlowest
https://www.linkedin.com/company/cox-enterprises,10856187,United States,Cox Enterprises,https://www.linkedin.com/company/cox-enterprises,cox-enterprises
https://br.linkedin.com/company/depaduaadvogados/,12068756,,De Pádua Advogados,https://br.linkedin.com/company/depaduaadvogados,depaduaadvogados
https://fr.linkedin.com/company/totalenergies,33431508,,TotalEnergies,https://fr.linkedin.com/company/totalenergies,totalenergies
https://www.linkedin.com/school/the-ohio-state-university,26390320,,The Ohio State University,https://www.linkedin.com/school/the-ohio-state-university,the-ohio-state-university
https://www.linkedin.com/company/pc-oil-and-gas,7655507,United States,PC Oil and Gas,https://www.linkedin.com/company/pc-oil-and-gas,pc-oil-and-gas
https://www.linkedin.com/company/ensono,6381678,United States,Ensono,https://www.linkedin.com/company/ensono,ensono
https://fr.linkedin.com/company/les-jardins-partages-les-cyclamens,54204469,,LES JARDINS PARTAGES LES CYCLAMENS,https://fr.linkedin.com/company/les-jardins-partages-les-cyclamens,les-jardins-partages-les-cyclamens
https://no.linkedin.com/company/jobbagent,12207794,,JobbAgent AS,https://no.linkedin.com/company/jobbagent,jobbagent
https://uk.linkedin.com/company/southern-fire-protection,88806724,,Southern Fire Protection,https://uk.linkedin.com/company/southern-fire-protection,southern-fire-protection
https://cn.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%99%A8%E6%9B%A6%E6%B3%B0%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,84681401,,深圳市晨曦泰软件有限公司,https://cn.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%99%A8%E6%9B%A6%E6%B3%B0%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%99%A8%E6%9B%A6%E6%B3%B0%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
https://fr.linkedin.com/company/cuma-de-monbouan,40258937,,CUMA DE MONBOUAN,https://fr.linkedin.com/company/cuma-de-monbouan,cuma-de-monbouan
https://fr.linkedin.com/company/chr-83,41099840,,CHR 83,https://fr.linkedin.com/company/chr-83,chr-83
https://www.linkedin.com/company/fcagroup,10156517,Italy,FCA Fiat Chrysler Automobiles,https://www.linkedin.com/company/fcagroup,fcagroup
https://in.linkedin.com/company/limtex-infotech-ltd/,8463761,India,Limtex Infotech Ltd,https://in.linkedin.com/company/limtex-infotech-ltd,limtex-infotech-ltd
https://de.linkedin.com/company/bertrandt-ag,357889,Germany,Bertrandt Group,https://de.linkedin.com/company/bertrandt-ag,bertrandt-ag
https://ca.linkedin.com/company/snc-lavalin_2,4007702,Canada,SNC-Lavalin,https://ca.linkedin.com/company/snc-lavalin_2,snc-lavalin_2
https://ir.linkedin.com/company/safirlanguageacademy,11826612,,Safir Language Academy,https://ir.linkedin.com/company/safirlanguageacademy,safirlanguageacademy
https://pl.linkedin.com/company/elmedico/,11225621,Poland,Elmedico,https://pl.linkedin.com/company/elmedico,elmedico
https://ar.linkedin.com/company/open-kosher,25375911,,Open Kosher,https://ar.linkedin.com/company/open-kosher,open-kosher
https://mx.linkedin.com/company/hotel-madi,91719181,,Hotel Madi,https://mx.linkedin.com/company/hotel-madi,hotel-madi
https://tr.linkedin.com/company/akbank,8759799,Turkey,Akbank,https://tr.linkedin.com/company/akbank,akbank
https://co.linkedin.com/company/prietocarrizosa,7796484,Colombia,Philippi Prietocarrizosa Ferrero DU & Uria,https://co.linkedin.com/company/prietocarrizosa,prietocarrizosa
https://pt.linkedin.com/company/besthealth4u,23063105,,BestHealth4U,https://pt.linkedin.com/company/besthealth4u,besthealth4u
https://fr.linkedin.com/company/atelier-delandemare-vitraux-d-art,41211274,,ATELIER DELANDEMARE VITRAUX D ART,https://fr.linkedin.com/company/atelier-delandemare-vitraux-d-art,atelier-delandemare-vitraux-d-art
https://in.linkedin.com/company/nb-4-energy-solutions-private-limited,21788180,,NB-4 ENERGY SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/company/nb-4-energy-solutions-private-limited,nb-4-energy-solutions-private-limited
